"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"5001600US0101","Congressional District 1 (116th Congress), Alabama","710135","615"
"5001600US0102","Congressional District 2 (116th Congress), Alabama","679684","2213"
"5001600US0103","Congressional District 3 (116th Congress), Alabama","708888","1544"
"5001600US0104","Congressional District 4 (116th Congress), Alabama","684757","1511"
"5001600US0105","Congressional District 5 (116th Congress), Alabama","720362","234"
"5001600US0106","Congressional District 6 (116th Congress), Alabama","704770","2841"
"5001600US0107","Congressional District 7 (116th Congress), Alabama","667654","3703"
"5001600US0200","Congressional District (at Large) (116th Congress), Alaska","737068","*****"
"5001600US0401","Congressional District 1 (116th Congress), Arizona","762575","2754"
"5001600US0402","Congressional District 2 (116th Congress), Arizona","724083","3238"
"5001600US0403","Congressional District 3 (116th Congress), Arizona","776579","5006"
"5001600US0404","Congressional District 4 (116th Congress), Arizona","786254","3738"
"5001600US0405","Congressional District 5 (116th Congress), Arizona","820915","3481"
"5001600US0406","Congressional District 6 (116th Congress), Arizona","792368","4913"
"5001600US0407","Congressional District 7 (116th Congress), Arizona","811872","5738"
"5001600US0408","Congressional District 8 (116th Congress), Arizona","790494","3607"
"5001600US0409","Congressional District 9 (116th Congress), Arizona","785159","5250"
"5001600US0501","Congressional District 1 (116th Congress), Arkansas","721413","673"
"5001600US0502","Congressional District 2 (116th Congress), Arkansas","762623","*****"
"5001600US0503","Congressional District 3 (116th Congress), Arkansas","807399","1365"
"5001600US0504","Congressional District 4 (116th Congress), Arkansas","707935","1510"
"5001600US0601","Congressional District 1 (116th Congress), California","706834","1530"
"5001600US0602","Congressional District 2 (116th Congress), California","716090","1858"
"5001600US0603","Congressional District 3 (116th Congress), California","742328","1870"
"5001600US0604","Congressional District 4 (116th Congress), California","741894","2025"
"5001600US0605","Congressional District 5 (116th Congress), California","727130","2617"
"5001600US0606","Congressional District 6 (116th Congress), California","760831","3142"
"5001600US0607","Congressional District 7 (116th Congress), California","751400","3265"
"5001600US0608","Congressional District 8 (116th Congress), California","724105","2866"
"5001600US0609","Congressional District 9 (116th Congress), California","768191","2115"
"5001600US0610","Congressional District 10 (116th Congress), California","751622","1159"
"5001600US0611","Congressional District 11 (116th Congress), California","761070","2080"
"5001600US0612","Congressional District 12 (116th Congress), California","762627","2221"
"5001600US0613","Congressional District 13 (116th Congress), California","759834","507"
"5001600US0614","Congressional District 14 (116th Congress), California","753409","2577"
"5001600US0615","Congressional District 15 (116th Congress), California","779710","1749"
"5001600US0616","Congressional District 16 (116th Congress), California","731650","3141"
"5001600US0617","Congressional District 17 (116th Congress), California","779960","2838"
"5001600US0618","Congressional District 18 (116th Congress), California","741968","3704"
"5001600US0619","Congressional District 19 (116th Congress), California","758819","3326"
"5001600US0620","Congressional District 20 (116th Congress), California","737426","1501"
"5001600US0621","Congressional District 21 (116th Congress), California","713144","4105"
"5001600US0622","Congressional District 22 (116th Congress), California","763702","3748"
"5001600US0623","Congressional District 23 (116th Congress), California","743054","4096"
"5001600US0624","Congressional District 24 (116th Congress), California","735979","696"
"5001600US0625","Congressional District 25 (116th Congress), California","714481","3042"
"5001600US0626","Congressional District 26 (116th Congress), California","725558","987"
"5001600US0627","Congressional District 27 (116th Congress), California","714769","2263"
"5001600US0628","Congressional District 28 (116th Congress), California","712362","3753"
"5001600US0629","Congressional District 29 (116th Congress), California","720207","4892"
"5001600US0630","Congressional District 30 (116th Congress), California","767589","5128"
"5001600US0631","Congressional District 31 (116th Congress), California","748362","3453"
"5001600US0632","Congressional District 32 (116th Congress), California","712870","2626"
"5001600US0633","Congressional District 33 (116th Congress), California","711557","3872"
"5001600US0634","Congressional District 34 (116th Congress), California","733639","4422"
"5001600US0635","Congressional District 35 (116th Congress), California","747555","2895"
"5001600US0636","Congressional District 36 (116th Congress), California","748453","2860"
"5001600US0637","Congressional District 37 (116th Congress), California","724598","5530"
"5001600US0638","Congressional District 38 (116th Congress), California","713171","2768"
"5001600US0639","Congressional District 39 (116th Congress), California","728841","2469"
"5001600US0640","Congressional District 40 (116th Congress), California","715562","3319"
"5001600US0641","Congressional District 41 (116th Congress), California","762664","2471"
"5001600US0642","Congressional District 42 (116th Congress), California","809051","3487"
"5001600US0643","Congressional District 43 (116th Congress), California","730307","3993"
"5001600US0644","Congressional District 44 (116th Congress), California","718922","4339"
"5001600US0645","Congressional District 45 (116th Congress), California","779324","2185"
"5001600US0646","Congressional District 46 (116th Congress), California","730435","2910"
"5001600US0647","Congressional District 47 (116th Congress), California","711813","3479"
"5001600US0648","Congressional District 48 (116th Congress), California","723594","2097"
"5001600US0649","Congressional District 49 (116th Congress), California","740198","3606"
"5001600US0650","Congressional District 50 (116th Congress), California","750181","4058"
"5001600US0651","Congressional District 51 (116th Congress), California","731761","4705"
"5001600US0652","Congressional District 52 (116th Congress), California","768293","4330"
"5001600US0653","Congressional District 53 (116th Congress), California","774603","5123"
"5001600US0801","Congressional District 1 (116th Congress), Colorado","832187","1146"
"5001600US0802","Congressional District 2 (116th Congress), Colorado","807266","1552"
"5001600US0803","Congressional District 3 (116th Congress), Colorado","744735","661"
"5001600US0804","Congressional District 4 (116th Congress), Colorado","819625","1395"
"5001600US0805","Congressional District 5 (116th Congress), Colorado","798375","501"
"5001600US0806","Congressional District 6 (116th Congress), Colorado","817676","1900"
"5001600US0807","Congressional District 7 (116th Congress), Colorado","790485","1819"
"5001600US0901","Congressional District 1 (116th Congress), Connecticut","711553","815"
"5001600US0902","Congressional District 2 (116th Congress), Connecticut","702769","260"
"5001600US0903","Congressional District 3 (116th Congress), Connecticut","713930","1397"
"5001600US0904","Congressional District 4 (116th Congress), Connecticut","735686","384"
"5001600US0905","Congressional District 5 (116th Congress), Connecticut","711136","1336"
"5001600US09ZZ","Congressional Districts not defined (116th Congress), Connecticut","null","null"
"5001600US1000","Congressional District (at Large) (116th Congress), Delaware","957248","*****"
"5001600US1198","Delegate District (at Large) (116th Congress), District of Columbia","692683","*****"
"5001600US1201","Congressional District 1 (116th Congress), Florida","771279","641"
"5001600US1202","Congressional District 2 (116th Congress), Florida","722465","2513"
"5001600US1203","Congressional District 3 (116th Congress), Florida","738669","2732"
"5001600US1204","Congressional District 4 (116th Congress), Florida","800945","5003"
"5001600US1205","Congressional District 5 (116th Congress), Florida","731618","5389"
"5001600US1206","Congressional District 6 (116th Congress), Florida","767325","2456"
"5001600US1207","Congressional District 7 (116th Congress), Florida","768317","4211"
"5001600US1208","Congressional District 8 (116th Congress), Florida","754594","1145"
"5001600US1209","Congressional District 9 (116th Congress), Florida","869762","5337"
"5001600US1210","Congressional District 10 (116th Congress), Florida","823865","4891"
"5001600US1211","Congressional District 11 (116th Congress), Florida","772901","3141"
"5001600US1212","Congressional District 12 (116th Congress), Florida","772330","2539"
"5001600US1213","Congressional District 13 (116th Congress), Florida","729991","2461"
"5001600US1214","Congressional District 14 (116th Congress), Florida","788251","3800"
"5001600US1215","Congressional District 15 (116th Congress), Florida","789855","5897"
"5001600US1216","Congressional District 16 (116th Congress), Florida","831418","4096"
"5001600US1217","Congressional District 17 (116th Congress), Florida","773684","3075"
"5001600US1218","Congressional District 18 (116th Congress), Florida","771253","2845"
"5001600US1219","Congressional District 19 (116th Congress), Florida","813477","2540"
"5001600US1220","Congressional District 20 (116th Congress), Florida","788175","4375"
"5001600US1221","Congressional District 21 (116th Congress), Florida","772206","2959"
"5001600US1222","Congressional District 22 (116th Congress), Florida","755091","3939"
"5001600US1223","Congressional District 23 (116th Congress), Florida","760118","2182"
"5001600US1224","Congressional District 24 (116th Congress), Florida","746402","5596"
"5001600US1225","Congressional District 25 (116th Congress), Florida","771549","3221"
"5001600US1226","Congressional District 26 (116th Congress), Florida","768910","4632"
"5001600US1227","Congressional District 27 (116th Congress), Florida","747186","3959"
"5001600US1301","Congressional District 1 (116th Congress), Georgia","737087","1066"
"5001600US1302","Congressional District 2 (116th Congress), Georgia","670498","2133"
"5001600US1303","Congressional District 3 (116th Congress), Georgia","735074","2704"
"5001600US1304","Congressional District 4 (116th Congress), Georgia","755681","4298"
"5001600US1305","Congressional District 5 (116th Congress), Georgia","771987","4228"
