Link_Image,CMTE_ID,CMTE_NM,CMTE_TP,CMTE_DSGN,CMTE_FILING_FREQ,CMTE_ST1,CMTE_ST2,CMTE_CITY,CMTE_ST,CMTE_ZIP,TRES_NM,CAND_ID,FEC_ELECTION_YR,INDV_CONTB,PTY_CMTE_CONTB,OTH_CMTE_CONTB,TTL_CONTB
https://www.fec.gov/data/committee/C00630517/?cycle=2022,C00630517,MARIA CABILDO FOR CONGRESS,H,P,T,3756 W. AVENUE 40,SUITE K  NO 150,LOS ANGELES,CA,90065,"MAY, JENNIFER",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00688432/?cycle=2022,C00688432,PLANNED PARENTHOOD ACTION FUND OF THE PACIFIC SOUTHWEST PAC,O,U,Q,"555 CAPITOL MALL, SUITE 400",,SACRAMENTO,CA,95814,"WILLIAMSON, JAMES",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00379974/?cycle=2022,C00379974,OKLAHOMANS FOR NUTTLE INC,H,P,Q,900 36TH AVENUE NW,SUITE 104,NORMAN,OK,73072,"HURLEY, PHILLIP E.",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00382382/?cycle=2022,C00382382,ASSOCIATED GENERAL CONTRACTORS NEW YORK STATE CHAPTER FEDERAL PAC,Q,U,Q,"10 AIRLINE DRIVE, SUITE 203",,ALBANY,NY,122051025,CARLA C. PLANKENHORN,,2022,0,0,0,0
https://www.fec.gov/data/committee/C00383745/?cycle=2022,C00383745,ALEXANDER FOR SENATE 2020 INC,S,P,Q,228 S WASHINGTON STREET SUITE 115,,ALEXANDRIA,VA,223145404,KEITH A DAVIS,,2022,0,0,0,0
https://www.fec.gov/data/committee/C00386755/?cycle=2022,C00386755,PRICE FOR CONGRESS,H,P,Q,P.O. BOX 425,,ROSWELL,GA,30077,"KILGORE, PAUL",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00182089/?cycle=2022,C00182089,RAESE FOR SENATE COMMITTEE,S,P,T,PO BOX 262,,MORGANTOWN,WV,26507,JAMES MICHAEL TROY,,2022,0,0,0,0
https://www.fec.gov/data/committee/C00721019/?cycle=2022,C00721019,CORA FOR MONTANA,S,P,Q,PO BOX 1597,,BOZEMAN,MT,59715,"KOOB, CHRISTOPHER",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00737304/?cycle=2022,C00737304,"PEOPLE AGAINST SCHOOL SHOOTINGS DBA PARENTS AGAINST SCHOOL SHOOTINGS, POLICE AGAINST SCHOOL SHOOTINGS, POLITICIANS AGAINST SCHOOL SHOOTINGS, PASS LAWS, PASSLAWS.ORG, PASSLAWS",O,U,Q,1602 BELLE VIEW BLVD,SUITE# 3092,ALEXANDRIA,VA,22307,"SMITH, JAY J.",,2022,503.61,0,0,503.61
https://www.fec.gov/data/committee/C00750737/?cycle=2022,C00750737,CITIZENS FOR NICOLAUS SLEISTER,S,P,Q,17404 MERIDIAN EAST,SUITE F #256,PUYALLUP,WA,98375,"SLEISTER, NICOLAUS",S2WA00338,2022,166.89,0,0,1262.89
https://www.fec.gov/data/committee/C00574350/?cycle=2022,C00574350,MELUSKEY FOR US SENATE INC,S,P,Q,26100 N 82ND ST,,SCOTTSDALE,AZ,85255,JULIANNE RYAN,,2022,60.48,0,0,60.48
https://www.fec.gov/data/committee/C00587451/?cycle=2022,C00587451,BLACK LIVES MATTER PAC LLC,N,U,Q,4827 CUPPLES PLACE,,ST LOUIS,MO,63113,JAMES HILL,,2022,0,0,0,0
https://www.fec.gov/data/committee/C00653030/?cycle=2022,C00653030,POLICE ACTION FUND,Q,U,Q,228 S WASHINGTON STREET,SUITE 115,ALEXANDRIA,VA,22314,"SATTERFIELD, DAVID",,2022,373543.17,0,0,373543.17
