Name,District Number,District Name,Class,Group,TD1: Degree,TD1: Major/Field,TD1: School,TD1: Year,TD2: Degree,TD2: Major/Field,TD2: School,TD2: Year,City,State,Job Title,Organization,Sector,Race,Gender,Birth Year,Age at Start,FOMC Combined,FOMC Pre-reorg,FOMC Pre Start Year,FOMC Pre End Year,FOMC Post-reorg,FOMC Post Start Year,FOMC Post End Year,Start Year (pos.),End Year (pos.),title,first,middle,last,suffix,nickname,middle_initial
BUCKNER A MCKINNEY,11,Dallas,A,3.0,JD,Law,,,,,,,Durant,Oklahoma,Vice President & Cashier,Durant National Bank,Banking,W,M,1872,42,"President, FRB Dallas & Governor, FRB Dallas","Governor, FRB Dallas",1922,1925,"President, FRB Dallas",1931,1939,1914,1921,,BUCKNER,A,MCKINNEY,,,A
DAVID C WILLS,4,Cleveland,T,,,,,,,,,,Bellevue,Pennsylvania,President,Citizens National Bank of Bellevue,Banking,W,M,1872,42,"Member, Federal Reserve Board","Member, Federal Reserve Board",1920,1921,,,,1914,1919,,DAVID,C,WILLS,,,C
JAMES K LYNCH,12,San Francisco,A,2.0,,,,,,,,,San Francisco,California,Vice President,First National Bank of San Francisco,Banking,W,M,1857,57,"Governor, FRB San Francisco","Governor, FRB San Francisco",1917,1919,,,,1914,1916,,JAMES,K,LYNCH,,,K
GEORGE J SEAY,5,Richmond,B,1.0,,,,,,,,,Richmond,Virginia,Partner,Scott and Stringfellow,Banking,W,M,1862,52,"Governor, FRB Richmond","Governor, FRB Richmond",1914,1936,"President, FRB Richmond",1914,1936,1914,1914,,GEORGE,J,SEAY,,,J
GEORGE W NORRIS,3,Philadelphia,C,,,,,,,,,,Philadelphia,Pennsylvania,"Director of Department of Wharves, Docks and Ferries",City of Philadelphia,Transportation,W,M,1864,50,"Governor, FRB Philadelphia","Governor, FRB Philadelphia",1920,1936,"President, FRB Philadelphia",1920,1936,1914,1914,,GEORGE,W,NORRIS,,,W
CHARLES J RHOADS,3,Philadelphia,A,1.0,Bachelor's,,Haverford College,,,,,,Philadelphia,Pennsylvania,Officer,Girard Trust Company of Philadelphia,Banking,W,M,1872,42,"Governor, FRB Philadelphia","Governor, FRB Philadelphia",1914,1918,,,,1914,1916,,CHARLES,J,RHOADS,,,J
WILLIS J BAILEY,10,Kansas City,A,2.0,,,,,,,,,Atchison,Kansas,Vice President & Managing Officer,Kansas Exchange National Bank,Banking,W,M,1854,60,"Governor, FRB Kansas City","Governor, FRB Kansas City",1922,1932,,,,1914,1921,,WILLIS,J,BAILEY,,,J
"JO ZACH MILLER, JR",10,Kansas City,C Chair,,Bachelor's,,St. Louis University,,,,,,Kansas City,Missouri,Vice President,Commerce Trust Company of Kansas City,Banking,W,M,1883,31,"Governor, FRB Kansas City","Governor, FRB Kansas City",1916,1922,,,,1914,1914,,JO,ZACH,MILLER,JR,,Z
OSCAR WELLS,11,Dallas,A,1.0,Bachelor's,,,,,,,,Houston,Texas,Vice President,First National Bank of Houston,Banking,W,M,1875,39,"Governor, FRB Dallas","Governor, FRB Dallas",1914,1915,,,,1914,1914,,OSCAR,,WELLS,,,
CHARLES A MORSS,1,Boston,B,1.0,,,,,,,,,Boston,Massachusetts,Treasurer,Simplex Wire & Cable Co.,Manufacturing,W,M,1857,57,"Governor, FRB Boston","Governor, FRB Boston",1917,1922,,,,1914,1917,,CHARLES,A,MORSS,,,A
MAXIMILIAN B WELLBORN,6,Atlanta,C Chair,,,,,,,,,,Atlanta,Georgia,President,First National Bank of Alabama,Banking,W,M,1862,52,"Governor, FRB Atlanta","Governor, FRB Atlanta",1919,1928,,,,1914,1918,,MAXIMILIAN,B,WELLBORN,,,B
THOMAS P BEAL,1,Boston,A,1.0,,,,,,,,,Boston,Massachusetts,President,Second National Bank of Boston,Banking,W,M,1883,31,,,,,,,,1914,1922,,THOMAS,P,BEAL,,,P
CHARLES G SANFORD,1,Boston,A,2.0,,,,,,,,,Bridgeport,Connecticut,President,First Bridgeport National Bank,Banking,W,M,1858,56,,,,,,,,1914,1915,,CHARLES,G,SANFORD,,,G
ARTHUR M HEARD,1,Boston,A,3.0,Bachelor's,,Amherst College,1888,,,,,Manchester,New Hampshire,President,Amoskeag National Bank,Banking,W,M,1866,48,,,,,,,,1914,1917,,ARTHUR,M,HEARD,,,M
EDMUND R MORSE,1,Boston,B,2.0,,,,,,,,,Proctor,Vermont,Treasurer,Vermont Marble Co.,"Energy, Mining, & Extraction",W,M,1858,56,,,,,,,,1914,1924,,EDMUND,R,MORSE,,,R
CHARLES G WASHBURN,1,Boston,B,3.0,JD,Law,Harvard University,1880,,,,,Worcester,Massachusetts,President,Wire Goods Co.,Manufacturing,W,M,1857,57,,,,,,,,1914,1927,,CHARLES,G,WASHBURN,,,G
"ALLEN HOLLIS, SR",1,Boston,C,,,,,,,,,,Concord,New Hampshire,Attorney,Attorney,Law,W,M,1871,43,,,,,,,,1914,1916,,ALLEN,,HOLLIS,SR,,
FREDERIC HAINES CURTISS,1,Boston,C Chair,,Bachelor's,,Harvard University,1913,,,,,Boston,Massachusetts,Vice President & Board of Trustees,Wellesley College,Education,W,M,1870,44,,,,,,,,1914,1941,,FREDERIC,HAINES,CURTISS,,,H
WALTER S HACKNEY,1,Boston,C Dep. Chair,,Bachelor's,,Racine College,,,,,,Providence,Rhode Island,Director,National Bank of Commerce of Providence,Banking,W,M,1860,54,,,,,,,,1914,1916,,WALTER,S,HACKNEY,,,S
WILLIAM WOODWARD,2,New York,A,1.0,JD,Law,Harvard University,1901,,,,,New York,New York,President,Hanover National Bank,Banking,W,M,1876,38,,,,,,,,1914,1918,,WILLIAM,,WOODWARD,,,
ROBERT H TREMAN,2,New York,A,2.0,Bachelor's,,Cornell University,1878,,,,,Ithica,New York,President,Tompkins County National Bank,Banking,W,M,1858,56,,,,,,,,1914,1929,,ROBERT,H,TREMAN,,,H
