"Symbol
",Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,"Founded
"
"MMM
",3M,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MMM&action=getcompany,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1976-08-09,0000066740,"1902
"
"ABT
",Abbott Laboratories,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ABT&action=getcompany,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,0000001800,"1888
"
"ABBV
",AbbVie,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ABBV&action=getcompany,Health Care,Pharmaceuticals,"North Chicago, Illinois",2012-12-31,0001551152,"2013 (1888)
"
"ABMD
",Abiomed,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ABMD&action=getcompany,Health Care,Health Care Equipment,"Danvers, Massachusetts",2018-05-31,0000815094,"1981
"
"ACN
",Accenture,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ACN&action=getcompany,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,0001467373,"1989
"
"ATVI
",Activision Blizzard,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ATVI&action=getcompany,Communication Services,Interactive Home Entertainment,"Santa Monica, California",2015-08-31,0000718877,"2008
"
"ADBE
",Adobe,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ADBE&action=getcompany,Information Technology,Application Software,"San Jose, California",1997-05-05,0000796343,"1982
"
"AMD
",Advanced Micro Devices,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMD&action=getcompany,Information Technology,Semiconductors,"Santa Clara, California",,0000002488,"1969
"
"AAP
",Advance Auto Parts,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AAP&action=getcompany,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",2015-07-09,0001158449,"1932
"
"AES
",AES Corp,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AES&action=getcompany,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,0000874761,"1981
"
"AFL
",Aflac,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AFL&action=getcompany,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,0000004977,"1955
"
"A
",Agilent Technologies,https://www.sec.gov/cgi-bin/browse-edgar?CIK=A&action=getcompany,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,0001090872,"1999
"
"APD
",Air Products & Chemicals,https://www.sec.gov/cgi-bin/browse-edgar?CIK=APD&action=getcompany,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,0000002969,"1940
"
"AKAM
",Akamai Technologies,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AKAM&action=getcompany,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,0001086222,"1998
"
"ALK
",Alaska Air Group,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALK&action=getcompany,Industrials,Airlines,"Seattle, Washington",2016-05-13,0000766421,"1985
"
"ALB
",Albemarle Corporation,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALB&action=getcompany,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,0000915913,"1994
"
"ARE
",Alexandria Real Estate Equities,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ARE&action=getcompany,Real Estate,Office REITs,"Pasadena, California",2017-03-20,0001035443,"1994
"
"ALXN
",Alexion Pharmaceuticals,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALXN&action=getcompany,Health Care,Pharmaceuticals,"Boston, Massachusetts",2012-05-25,"0000899866
","1992
"
